State Dimensions: 364
Action Dimensions: 2
Action Max: 0.2 m/s and 1 rad/s
---------------------- EPISODE 1 --------------------
waiting for service
reset called
[INFO] [1650672289.419011, 0.831000]: Goal position : 0.6, 0.0
0.6 0.0
step: 181 | reward: 2.0000000000000018 | done: False | action: 0.05347789451479912,0.9498084783554077
step: 182 | reward: 2.0000000000000018 | done: False | action: 0.05001789703965187,0.7643235325813293
step: 183 | reward: 2.0000000000000018 | done: False | action: 0.041311461478471756,0.7954415082931519
step: 184 | reward: -8.0 | done: False | action: 0.05101316422224045,0.753665030002594
step: 185 | reward: 2.0000000000000018 | done: False | action: 0.06709815561771393,0.7591941356658936
step: 186 | reward: 2.0000000000000018 | done: False | action: 0.05818431079387665,0.8083499670028687
step: 187 | reward: 2.0000000000000018 | done: False | action: 0.05886838585138321,0.836972713470459
step: 188 | reward: 2.0000000000000018 | done: False | action: 0.0642552599310875,0.962489128112793
step: 189 | reward: 2.0000000000000018 | done: False | action: 0.06162702664732933,0.9525387287139893
step: 190 | reward: 2.0000000000000018 | done: False | action: 0.06724651902914047,0.9260611534118652
step: 191 | reward: -8.0 | done: False | action: 0.05932144075632095,1.0
step: 192 | reward: 2.0000000000000018 | done: False | action: 0.0512312576174736,1.0
step: 193 | reward: -8.0 | done: False | action: 0.03361370787024498,0.784061074256897
step: 194 | reward: -8.0 | done: False | action: 0.028782205656170845,0.9127524495124817
step: 195 | reward: -8.0 | done: False | action: 0.032893575727939606,0.8181486129760742
step: 196 | reward: -8.0 | done: False | action: 0.020944152027368546,0.8730490803718567
step: 197 | reward: -8.0 | done: False | action: 0.006126148160547018,0.8478784561157227
step: 198 | reward: -8.0 | done: False | action: 0.01132743339985609,0.9758715629577637
step: 199 | reward: -8.0 | done: False | action: 0.02582637593150139,0.9931085109710693
step: 200 | reward: -8.0 | done: False | action: 0.01977069303393364,0.990643322467804
------------------------------------- EPISODE END -----------------------------------------
---------------------- EPISODE 3 --------------------
waiting for service
reset called
